Date,Headline,Headline_preprocessed,Sentiment
2023-05-12T10:00:56Z,Critique Black Knight : la nouvelle série Netflix qui ne laisse pas le temps de respirer,critiqu black knight : la nouvel série netflix qui ne laiss pa le temp de respir,Negative
2023-05-12T17:30:47Z,Critique The Mother : Netflix transforme Jennifer Lopez en mère de sang ,critiqu mother : netflix transform jennif lopez en mère de sang,Neutral
2023-05-15T07:00:34Z,Netflix veut faire 300 millions de dollars d’économies,netflix veut fair 300 million de dollar ’ économi,Positive
2023-05-25T18:00:36Z,Critique Fubar : Schwarzenegger fait une monumentale erreur sur Netflix ,critiqu fubar : schwarzenegg fait une monumental erreur sur netflix,Neutral
2023-05-18T10:30:18Z,"Steam Deck Wins Award, Zelda Tears of the Kingdom Breaks Records, and How to Play Games on Netflix","steam deck win award , zelda tear kingdom break record , play game netflix",Positive
2023-05-20T07:00:41Z,Squid Game revient dès cette année sur Netflix !,squid game revient dè cett anné sur netflix !,Negative
2023-05-11T06:12:52Z,Netflix Releases Trailer for Arnold Schwarzenegger Docuseries,netflix releas trailer arnold schwarzenegg docuseri,Neutral
2023-05-23T18:01:22Z,"Es el mayor fracaso de la historia de Netflix a nivel de reviews. Y por una vez, coinciden crítica y público","e el mayor fracaso de la historia de netflix nivel de review . por una vez , coinciden crítica público",Neutral
2023-05-25T13:50:15Z,15 Shows to Watch After Succession,15 show watch success,Positive
2023-05-22T21:20:00Z,Netflix's New Update Makes It Easier to Find Stuff to Stream Fast - CNET,netflix 's new updat make easier find stuff stream fast - cnet,Positive
2023-05-24T18:28:47Z,Inaugural Diversity in Gaming Breakfast shows how more voices improve the industry,inaugur diver game breakfast show voic improv industri,Negative
2023-05-09T08:30:19Z,Netflix : les films originaux sont-ils toujours aussi populaires ?,netflix : le film originaux sont-il toujour aussi populair ?,Neutral
2023-05-19T08:00:22Z,White Men Can’t Jump to Do the Right Thing: the seven best films to watch on TV this week,white men ’ jump right thing : seven best film watch tv week,Positive
2023-05-19T15:30:39Z,"Disparue pendant 6 ans, elle est retrouvée grâce à une série Netflix","disparu pendant 6 an , ell est retrouvé grâce à une série netflix",Neutral
2023-05-19T20:45:22Z,How to Fix Netflix Error Code NW-2-5,fix netflix error code nw-2-5,Neutral
2023-05-19T10:40:06Z,"10 Things in Tech: Apple's upcoming 'Reality' headset, BookTok drives book sales, and more","10 thing tech : appl 's upcom 'realiti ' headset , booktok drive book sale ,",Neutral
2023-05-11T04:01:13Z,Netflix Drops Official 'McGregor Forever' Trailer,netflix drop offici 'mcgregor forev ' trailer,Neutral
2023-05-10T10:39:21Z,"Aston Martin may have earned up to $80 million in sales due to its safety cars featuring in F1 races, its boss suggests","aston martin may earn $ 80 million sale due safeti car featur f1 race , bos suggest",Negative
2023-05-11T09:36:52Z,"FAANG stocks could soar 50% this year thanks to long-term demand for tech goods and no new competition, Fundstrat's Tom Lee says","faang stock could soar 50 % year thank long-term demand tech good new competit , fundstrat 's tom lee say",Positive
2023-05-10T21:15:00Z,Robert Rodriguez Made a New Sci-Fi Movie Starring Ben Affleck. Seriously.,robert rodriguez made new sci-fi movi star ben affleck . serious .,Negative
2023-05-04T17:30:49Z,Paramount acaba de declarar 551 millones de dólares en pérdidas. Son pésimas noticias para SkyShowtime,paramount acaba de declarar 551 millon de dólare en pérdida . son pésima noticia para skyshowtim,Neutral
2023-05-10T09:40:23Z,People are nervous AI will take their job. But they're fine with AI taking part of their job.,peopl nervou ai take job . 're fine ai take part job .,Positive
2023-05-23T21:01:20Z,A Man Called Otto is a hit on Netflix. Here are 3 reasons why it’s so popular,man call otto hit netflix . 3 reason ’ popular,Positive
2023-05-24T00:50:06Z,Streamingdient: Netflix geht gegen Account-Trittbrettfahrer vor,streamingdi : netflix geht gegen account-trittbrettfahr vor,Neutral
2023-05-30T14:30:51Z,Vous vous désabonnez suite à la fin du partage de compte ? Netflix s’en fiche,vou vou désabonnez suit à la fin du partag de compt ? netflix ’ en fich,Neutral
2023-05-30T21:40:32Z,Turnstile and Christian Lee Hutson Recorded New Songs for I Think You Should Leave With Tim Robinson,turnstil christian lee hutson record new song think leav tim robinson,Positive
2023-05-24T04:26:35Z,"Netflix Officially Launches Paid Sharing in U.S., To Begin Blocking Users With Unauthorized Passwords","netflix offici launch paid share u.s. , begin block user unauthor password",Neutral
2023-05-19T18:31:14Z,"Esta tremenda película de Shyamalan se basa en el caso real de un asesino con 24 personalidades, y ya está en Netflix","esta tremenda película de shyamalan se basa en el caso real de un asesino con 24 personalidad , ya está en netflix",Positive
2023-05-22T18:00:39Z,"Spielberg estaba tan seguro de esta película, ahora en Netflix, que pagó por ella dos millones antes de leer el guión","spielberg estaba tan seguro de esta película , ahora en netflix , que pagó por ella do millon ant de leer el guión",Neutral
2023-05-23T22:02:54Z,Why YouTube is a tough place for kids podcasts,youtub tough place kid podcast,Negative
2023-05-14T15:00:00Z,Meg Foster Returns to He-Man with Masters of the Universe: Revolution,meg foster return he-man master univers : revolut,Neutral
2023-05-19T12:00:27Z,"‘Only God can say – That’s enough’: Wanda Sykes, the uncancellable standup superstar","‘ god say – ’ enough ’ : wanda syke , uncancel standup superstar",Neutral
2023-05-31T12:15:02Z,Cette série Netflix a désormais sa bière officielle,cett série netflix désormai sa bièr officiel,Neutral
2023-05-03T17:30:57Z,Mauvaise nouvelle pour les fans de Sweet Tooth : Netflix frappe à nouveau,mauvais nouvel pour le fan de sweet tooth : netflix frapp à nouveau,Positive
2023-05-26T10:11:00Z,El 'zasca' de Amazon a Netflix tras ampliar la restricción de las cuentas compartidas,el 'zasca ' de amazon netflix tra ampliar la restricción de la cuenta compartida,Neutral
2023-05-23T23:36:14Z,"Netflix Just Announced That It Will Crackdown On Password Sharing In The US, And People On Twitter Are, Of Course, Not Happy","netflix announc crackdown password share u , peopl twitter , cours , happi",Neutral
2023-05-24T17:46:25Z,Netflix Has Been Threatening to Crack Down on Password Sharing for Years—Now They're Finally Doing It,netflix threaten crack password share years—now 're final,Neutral
2023-05-30T23:22:12Z,Erykah Badu to Appear in Netflix Drama The Piano Lesson,erykah badu appear netflix drama piano lesson,Neutral
2023-05-24T14:33:00Z,Netflix Password-Sharing Is No Longer Free in the US: What to Know - CNET,netflix password-shar longer free u : know - cnet,Positive
2023-05-28T06:00:38Z,Faut-il diffuser tous les épisodes d’une série d’un coup ou un seul par semaine ?,faut-il diffus tou le épisod ’ une série ’ un coup ou un seul par semain ?,Neutral
2023-05-23T13:00:34Z,"Netflix : avec ces nouvelles fonctionnalités, vous allez y voir plus clair","netflix : avec ce nouvel fonctionnalité , vou allez voir plu clair",Neutral
2023-05-21T10:00:16Z,Pourquoi les annulations de séries vont se multiplier,pourquoi le annul de séri vont se multipli,Neutral
2023-05-02T08:53:28Z,"Películas y canales de TV gratis, así es como Amazon podría destruir completamente a Netflix","película canal de tv grati , así e como amazon podría destruir completament netflix",Neutral
2023-05-06T10:00:36Z,Top 10 des documentaires à regarder sur Netflix,top 10 de documentair à regard sur netflix,Positive
2023-05-13T08:00:58Z,4 séries comiques à savourer sur Netflix et Disney+,4 séri comiqu à savour sur netflix et disney+,Neutral
2023-05-24T13:56:08Z,Netflix is finally implementing its password sharing policy in the US,netflix final implement password share polici u,Neutral
2023-05-02T17:40:00Z,Netflix Condemns WGA Strike For Putting Future Show Cancellations Behind Schedule,netflix condemn wga strike put futur show cancel behind schedul,Negative
2023-05-30T08:59:58Z,MagentaTV Smart Netflix: Telekom bietet Netflix-Standard-Abo mit Werbung an,magentatv smart netflix : telekom bietet netflix-standard-abo mit werbung,Positive
2023-05-12T16:00:29Z,8 Streaming Services That Still Let You Share Passwords,8 stream servic still let share password,Neutral
2023-05-02T08:46:52Z,Everything Coming To and Leaving Netflix in May 2023,everyth come leav netflix may 2023,Neutral
2023-05-25T06:38:43Z,"Netflix Appoints Arnold Schwarzenegger as ""Chief Action Officer""",netflix appoint arnold schwarzenegg `` chief action offic '',Positive
2023-05-26T20:28:47Z,Check out 19 of the best romantic movies on Netflix,check 19 best romant movi netflix,Positive
2023-05-10T13:32:07Z,Krysten Ritter talks about the impact of Jessica Jones,krysten ritter talk impact jessica jone,Neutral
2023-05-12T22:15:00Z,"Evil Dead Rise, Netflix’s Mother, Air, and every other new movie to watch at home this week","evil dead rise , netflix ’ mother , air , everi new movi watch home week",Negative
2023-05-12T13:00:00Z,21 Truly Terrible Movie Moms to Make you Feel Better (or Worse) About Yours,21 truli terribl movi mom make feel better ( wors ),Positive
2023-05-22T18:47:02Z,Netflix: Meine Liste bekommt Filterfunktion,netflix : mein list bekommt filterfunkt,Neutral
2023-05-02T21:25:00Z,Game Pass Now Lets You Give Friends Free Trials On PC,game pas let give friend free trial pc,Neutral
2023-05-16T17:00:24Z,Tyler Rake 2 : un trailer explosif et rempli de révélations pour sa sortie,tyler rake 2 : un trailer explosif et rempli de révélation pour sa sorti,Neutral
2023-05-23T20:11:44Z,Netflix annonce la fin du partage de compte en France : combien allez-vous payer ?,netflix annonc la fin du partag de compt en franc : combien allez-v payer ?,Neutral
2023-05-12T08:00:18Z,Grève à Hollywood : pourquoi le PDG de Netflix annule un gala,grève à hollywood : pourquoi le pdg de netflix annul un gala,Neutral
2023-05-24T19:00:00Z,"10 Horror Movies That Will Make You Log Off Social Media, Possibly Forever","10 horror movi make log social medium , possibl forev",Positive
2023-06-01T17:23:07Z,Relive Vecna's evil origins in Stranger Things VR for Quest 2,reliv vecna 's evil origin stranger thing vr quest 2,Negative
2023-05-22T04:37:41Z,"Netflix : critiquée à sa sortie, l’offre avec publicité fait un carton","netflix : critiqué à sa sorti , l ’ offr avec publicité fait un carton",Neutral
2023-05-08T19:34:46Z,"Por qué veo Netflix, HBO Max y Disney+ en Kodi en vez de en sus apps oficiales para Chromecast, Fire TV Stick o Nvidia Shield TV","por qué veo netflix , hbo max disney+ en kodi en vez de en su app oficial para chromecast , fire tv stick nvidia shield tv",Neutral
2023-05-06T16:32:13Z,"Men put on the style at the Met gala, but the Karl Lagerfield theme was a fashion faux pas | Bidisha Mamata","men put style met gala , karl lagerfield theme fashion faux pa | bidisha mamata",Neutral
2023-05-03T16:52:05Z,Kate Bush ‘shocked and honoured’ to earn place in Rock and Roll Hall of Fame,kate bush ‘ shock honour ’ earn place rock roll hall fame,Neutral
2023-05-24T21:36:03Z,A Brighter Tomorrow review – Nanni Moretti’s new film is bafflingly awful,brighter tomorrow review – nanni moretti ’ new film bafflingli aw,Positive
2023-05-31T21:18:43Z,Kim Cattrall to reprise Sex and the City role in And Just Like That,kim cattral repris sex citi role like,Neutral
2023-05-19T17:25:33Z,The Guardian view on striking Hollywood writers: a fight for life | Editorial,guardian view strike hollywood writer : fight life | editori,Neutral
2023-05-11T08:45:03Z,Disney+ loses 4m subscribers amid exodus in Indian market,disney+ lose 4m subscrib amid exodu indian market,Neutral
2023-06-01T05:00:23Z,"The best theatre to stream this month: Blues for An Alabama Sky, Macbeth and more","best theatr stream month : blue alabama sky , macbeth",Positive
2023-05-03T18:12:45Z,¿Por qué ‘New Amsterdam’ fue cancelada?,¿por qué ‘ new amsterdam ’ fue cancelada ?,Positive
2023-05-03T20:00:00Z,The 15 best films on Netflix in May 2023,15 best film netflix may 2023,Positive
2023-05-29T16:00:00Z,11 movies to check out on Netflix this June,11 movi check netflix june,Neutral
2023-05-24T18:04:06Z,"Tim Robinson Shares New I Think You Should Leave Season 3 Trailer, Reveals Guest Stars","tim robinson share new think leav season 3 trailer , reveal guest star",Positive
2023-05-27T07:06:16Z,Everything Coming To and Leaving Netflix in June 2023,everyth come leav netflix june 2023,Neutral
2023-06-01T13:00:17Z,Netflix : le premier jeu consoles et PC se précise et promet du très lourd,netflix : le premier jeu consol et pc se précise et promet du trè lourd,Neutral
2023-05-23T19:01:03Z,Streaming-Riese: Netflix startet Vorgehen gegen Account-Trittbrettfahrer,streaming-ries : netflix startet vorgehen gegen account-trittbrettfahr,Neutral
2023-05-02T15:00:16Z,"Après Dahmer, Netflix et Ryan Murphy s’attaque à deux nouveaux monstres","aprè dahmer , netflix et ryan murphi ’ attaqu à deux nouveaux monstr",Neutral
2023-05-15T14:00:24Z,Amazon Prime Video va vendre une partie de son catalogue à Netflix et Disney,amazon prime video va vendr une parti de son catalogu à netflix et disney,Neutral
2023-05-16T13:30:49Z,"En Espagne, la fin du partage de compte Netflix vire au fiasco","en espagn , la fin du partag de compt netflix vire au fiasco",Neutral
2023-05-30T12:30:47Z,"Malgré le départ d’Henry Cavill, The Witcher est loin d’être terminée","malgré le départ ’ henri cavil , witcher est loin ’ être terminé",Neutral
2023-06-01T10:00:04Z,Black Mirror saison 6 dévoile sa date de sortie dans un trailer glaçant,black mirror saison 6 dévoil sa date de sorti dan un trailer glaçant,Negative
2023-05-16T11:22:46Z,Las telecos quieren que Big Tech como Google o Netflix paguen por usar sus redes en Europa. El consumidor puede salir perdiendo,la teleco quieren que big tech como googl netflix paguen por usar su rede en europa . el consumidor pued salir perdiendo,Neutral
2023-05-17T23:00:04Z,Netflix’s First Upfront Opened with a Dig at ‘Max’,netflix ’ first upfront open dig ‘ max ’,Positive
2023-05-24T13:30:56Z,The Witcher : pourquoi la série ne s’est pas arrêtée au départ d’Henry Cavill ?,witcher : pourquoi la série ne ’ est pa arrêté au départ ’ henri cavil ?,Neutral
2023-06-02T07:59:07Z,waipu: Netflix-Streaming-Deal: 50 % Rabatt für 12 Monate,waipu : netflix-streaming-d : 50 % rabatt für 12 monat,Neutral
2023-05-26T11:30:12Z,Nielsen desvela lo más visto en streaming y corrobora el descalabro de 'Citadel' de Amazon: no llega ni al Top 10,nielsen desvela lo má visto en stream corrobora el descalabro de 'citadel ' de amazon : llega ni al top 10,Positive
2023-05-11T03:44:25Z,"Disney's revenue is on the rise, but streaming subscriber losses mar CEO Bob Iger's boost as he takes another jab at Florida's Ron DeSantis","disney 's revenu rise , stream subscrib loss mar ceo bob iger 's boost take anoth jab florida 's ron desanti",Neutral
2023-05-13T16:05:00Z,"7 new Netflix releases to get excited for, including a new season of Selling Sunset","7 new netflix releas get excit , includ new season sell sunset",Positive
2023-05-05T14:00:02Z,The best gifts for teachers,best gift teacher,Positive
2023-05-24T18:59:46Z,Watch Arnold Schwarzenegger make his TV debut this week in the Netflix series Fubar,watch arnold schwarzenegg make tv debut week netflix seri fubar,Neutral
2023-05-20T16:05:00Z,"5 new Netflix releases I’ll be watching, including Arnold Schwarzenegger’s TV debut in Fubar","5 new netflix releas ’ watch , includ arnold schwarzenegg ’ tv debut fubar",Positive
2023-05-30T00:09:00Z,Put this 3-part Netflix docuseries about Arnold Schwarzenegger on your watch list right now,put 3-part netflix docuseri arnold schwarzenegg watch list right,Positive
2023-05-28T20:30:05Z,Watch these 4 Netflix series instead of Fubar if you’re in the mood for an action-thriller,watch 4 netflix seri instead fubar ’ mood action-thril,Neutral
2023-05-29T12:02:28Z,Con el Chromecast HD de Google podrás darle una segunda vida a la vieja televisión de tu segunda residencia por menos de 29 euros,con el chromecast hd de googl podrá darl una segunda vida la vieja televisión de tu segunda residencia por meno de 29 euro,Neutral
2023-05-06T16:05:00Z,"6 new Netflix releases coming next week, including Queen Cleopatra and a new season of Queer Eye","6 new netflix releas come next week , includ queen cleopatra new season queer eye",Positive
2023-05-04T22:40:00Z,Soft & Quiet: This horror movie that just hit Netflix gave one critic a serious panic attack,soft & quiet : horror movi hit netflix gave one critic seriou panic attack,Positive
2023-05-22T21:06:45Z,Netflix is making some long-overdue changes to its app that power users will love,netflix make long-overdu chang app power user love,Positive
2023-05-25T00:10:00Z,Black Knight is the biggest non-English Netflix series in the world right now,black knight biggest non-english netflix seri world right,Positive
2023-05-18T15:16:30Z,"David Zaslav, Defender of the Cable Bundle, Is Ready to Bundle Max with Other Streamers","david zaslav , defend cabl bundl , readi bundl max streamer",Neutral
2023-05-06T14:01:00Z,Las 27 mejores series de la historia de Netflix,la 27 mejor seri de la historia de netflix,Neutral
2023-05-06T14:00:58Z,La réponse d’Apple Arcade aux jeux Netflix : 20 nouveaux titres d’un coup !,la répons ’ appl arcad aux jeux netflix : 20 nouveaux titr ’ un coup !,Neutral
2023-05-25T07:00:36Z,Fin du partage de comptes : voici comment transférer votre profil Netflix,fin du partag de compt : voici comment transférer votr profil netflix,Neutral
2023-05-10T16:00:00Z,Arnold Schwarzenegger Manifests His Destiny Through Positive Visualization in Doc Trailer,arnold schwarzenegg manifest destini posit visual doc trailer,Neutral
2023-05-16T05:05:24Z,"Dites au revoir à vos séries préférées, c’est la crise chez Netflix","dite au revoir à vo séri préférée , c ’ est la crise chez netflix",Neutral
2023-05-16T09:00:58Z,The Mother : pourquoi ce film avec Jennifer Lopez est n°1 sur Netflix,mother : pourquoi ce film avec jennif lopez est n°1 sur netflix,Neutral
2023-06-02T06:06:20Z,"Fin de partage de compte Netflix : et maintenant, un député s’en mêle","fin de partag de compt netflix : et mainten , un député ’ en mêle",Neutral
2023-05-28T10:00:29Z,Call My Agent!’s Laure Calamy: ‘I have too much energy’,call agent ! ’ laur calamus : ‘ much energi ’,Positive
2023-05-24T13:25:49Z,Netflix Begins Crackdown on Password Sharing in US and UK,netflix begin crackdown password share u uk,Neutral
2023-05-12T20:45:27Z,Meet the school custodian who has coached the chess team to the championships,meet school custodian coach chess team championship,Neutral
2023-05-29T14:51:11Z,"‘They don’t know the rules’: actors hit back at theatregoers phoning, drinking and fighting","‘ ’ know rule ’ : actor hit back theatrego phone , drink fight",Neutral
2023-05-03T16:23:44Z,Uber wants to know where you're going and what you'll order before you do,uber want know 're go 'll order,Neutral
2023-05-10T14:07:17Z,Amazon is ending support for Halo wearables on July 31: Here's how to get a refund,amazon end support halo wearabl juli 31 : 's get refund,Neutral
2023-05-10T18:22:33Z,Etsy launches wedding registry service for handmade gifts in wake of Bed Bath & Beyond bankruptcy,etsi launch wed registri servic handmad gift wake bed bath & beyond bankruptci,Neutral
2023-05-04T17:29:41Z,Jimmy Fallon and Seth Meyers are paying a week's worth of TV writer salaries from their own pockets during the strike,jimmi fallon seth meyer pay week 's worth tv writer salari pocket strike,Positive
2023-05-09T19:00:00Z,‘Queen Charlotte’ Gets Crowned a Netflix Hit,‘ queen charlott ’ get crown netflix hit,Neutral
2023-06-01T10:50:00Z,"You can keep sharing the Netflix password, and nothing will happen to you","keep share netflix password , noth happen",Neutral
2023-05-30T10:50:00Z,Fight Netflix’s password-sharing crackdown by sharing a different password,fight netflix ’ password-shar crackdown share differ password,Neutral
2023-05-15T18:22:29Z,Company will send you a free 55-inch TV with ads playing non-stop at the bottom and camera tracking your behavior,compani send free 55-inch tv ad play non-stop bottom camera track behavior,Positive
2023-05-09T13:30:00Z,"Amazon Starts Licensing Originals: Netflix, Your Move","amazon start licens origin : netflix , move",Neutral
2023-05-17T01:15:00Z,The 60 Best Shows on Netflix,60 best show netflix,Positive
2023-05-10T01:09:25Z,Chelsea Handler Delivers Topless PSA Urging Men To Get Vasectomies,chelsea handler deliv topless psa urg men get vasectomi,Neutral
2023-05-12T04:30:00Z,Why Disney’s streaming losses are Tubi’s gains,disney ’ stream loss tubi ’ gain,Neutral
2023-05-08T21:25:00Z,It feels like no one is watching or talking about Netflix’s new original movies right now,feel like one watch talk netflix ’ new origin movi right,Positive
2023-05-15T15:00:31Z,Rick et Morty va (enfin) diffuser sa saison 6 en France,rick et morti va ( enfin ) diffus sa saison 6 en franc,Neutral
2023-05-30T13:00:00Z,"June TV preview: Secret Invasion, The Bear season 2, and 24 more shows you'll want to watch","june tv preview : secret invas , bear season 2 , 24 show 'll want watch",Negative
2023-05-19T18:07:56Z,"""Arbeit: Was wir den ganzen Tag machen"": Im Büro mit Obama",`` arbeit : wir den ganzen tag machen '' : im büro mit obama,Neutral
2023-05-11T12:00:50Z,"Giant robots from outer space! Netflix reveals details for new 3D anime series, 'Mech Cadets'","giant robot outer space ! netflix reveal detail new 3d anim seri , 'mech cadet '",Positive
2023-05-25T12:59:03Z,Business,busi,Neutral
2023-05-18T11:01:00Z,YouTube TV y Netflix colapsan en eventos que congregan a millones en vivo: la tele de siempre toma fuerza,youtub tv netflix colapsan en evento que congregan millon en vivo : la tele de siempr toma fuerza,Neutral
2023-05-15T04:00:34Z,"Amazon Prime Video: Pricing, content, features, and more","amazon prime video : price , content , featur ,",Neutral
2023-06-01T14:45:00Z,"Actualité : Partage de comptes Netflix : foyer, abonné supplémentaire payant, code SMS... quelles sont les nouvelles règles ?","actualité : partag de compt netflix : foyer , abonné supplémentair payant , code sm ... quell sont le nouvel règle ?",Neutral
2023-05-17T12:37:13Z,"Worried About Backlash, Netflix Delays Password Sharing Crackdown In U.S.","worri backlash , netflix delay password share crackdown u. .",Neutral
2023-05-27T08:05:58Z,Netflix продлил «Ведьмака» на пятый сезон,netflix продлил « ведьмака » на пятый сезон,Neutral
2023-05-23T20:10:13Z,Netflix: Zusatzkosten für Passwort-Sharing in Deutschland bekannt,netflix : zusatzkosten für passwort-shar deutschland bekannt,Neutral
2023-05-24T14:16:49Z,"Neu auf Netflix im Juni 2023: The Witcher, Black Mirror und mehr","neu auf netflix im juni 2023 : witcher , black mirror und mehr",Negative
2023-05-23T19:07:47Z,Netflix Will Now Charge You To Share Your Password,netflix charg share password,Neutral
2023-05-02T23:35:56Z,The Polish Horror Film Leaving Netflix Fans Nauseated,polish horror film leav netflix fan nauseat,Neutral
2023-05-26T10:00:01Z,"Fin du partage de compte Netflix : il y aura des exceptions, êtes-vous concerné ?","fin du partag de compt netflix : il aura de except , êtes-vou concerné ?",Neutral
2023-05-19T01:45:39Z,Watch how this tiny HDMI dongle turns your iPad or Smartphone into a secondary touchscreen for your Laptop,watch tini hdmi dongl turn ipad smartphon secondari touchscreen laptop,Neutral
2023-05-03T08:30:24Z,AKA : c’est quoi ce film d’action français qui cartonne partout ?,aka : c ’ est quoi ce film ’ action françai qui cartonn partout ?,Negative
2023-05-28T17:41:30Z,"Citron pressé : l’ISS va tomber sur Terre, crise chez Netflix et l’usine de Mike Horn","citron pressé : l ’ i va tomber sur terr , crise chez netflix et l ’ usin de mike horn",Neutral
2023-05-25T08:00:41Z,Fin du partage des compte : le tacle appuyé d’Amazon Prime à Netflix,fin du partag de compt : le tacl appuyé ’ amazon prime à netflix,Neutral
2023-05-31T13:51:08Z,Netflix Shares Black Mirror Season 6 Trailer and Release Date: Watch,netflix share black mirror season 6 trailer releas date : watch,Negative
2023-05-25T16:00:13Z,10 excellentes séries qui sont adaptées de romans,10 excellent séri qui sont adapté de roman,Positive
2023-05-26T15:00:00Z,"Kurz informiert: Multiresistente Keime, Tesla-Files, Spyware, Prime Video","kurz informiert : multiresistent keim , tesla-fil , spywar , prime video",Neutral
2023-05-30T12:30:00Z,Tutoriel : Netflix : comment transférer son profil vers un nouveau compte ?,tutoriel : netflix : comment transférer son profil ver un nouveau compt ?,Neutral
2023-05-21T03:54:28Z,Netflix's 'Squid Game: The Challenge' Reality Show Arrives This November,netflix 's 'squid game : challeng ' realiti show arriv novemb,Negative
2023-05-24T20:41:00Z,"Netflix said love is sharing a password, and love will now cost you $7.99","netflix said love share password , love cost $ 7.99",Positive
2023-05-19T06:00:20Z,Poker Face to Platonic: the seven best shows to stream this week,poker face platon : seven best show stream week,Positive
2023-05-11T12:47:08Z,These Xgimi projector deals breathe new life into movie night with up to $250 off,xgimi projector deal breath new life movi night $ 250,Positive
2023-05-24T10:22:30Z,The Ultimatum: Queer Love review – this lesbian and bi dating show is absurdly watchable,ultimatum : queer love review – lesbian bi date show absurdli watchabl,Positive
2023-05-25T05:00:13Z,Fubar review – Arnie’s a natural comedian in this unstoppably daft crime drama,fubar review – arni ’ natur comedian unstopp daft crime drama,Neutral
2023-05-05T11:54:57Z,¿Netflix no tiene la serie que buscas? Así puedes pedírsela,¿netflix tien la seri que busca ? así pued pedírsela,Neutral
2023-05-02T16:48:48Z,"Laya's Horizon is a stunning adventure from the developers of Alto's Adventure, out now","laya 's horizon stun adventur develop alto 's adventur ,",Neutral
2023-05-23T12:01:23Z,Netflix tiene clara su estrategia para que vuelvan los suscriptores españoles: ser insistentes,netflix tien clara su estrategia para que vuelvan lo suscriptor español : ser insistent,Neutral
2023-05-02T09:53:02Z,"Streaming im Mai: Das ist neu auf Netflix, Amazon Prime und Disney+","stream im mai : da ist neu auf netflix , amazon prime und disney+",Neutral
2023-05-23T22:20:00Z,Netflix cleverly picked the absolute perfect day to start cracking down on sharing passwords,netflix cleverli pick absolut perfect day start crack share password,Positive
2023-05-24T13:00:40Z,Lo que cuesta compartir Netflix en Estados Unidos,lo que cuesta compartir netflix en estado unido,Neutral
2023-06-02T03:03:00Z,"Tonight in schadenfreude: Netflix bosses get their pay requests rejected, for once","tonight schadenfreud : netflix bos get pay request reject ,",Neutral
2023-05-15T19:38:52Z,"Double-screen ‘free’ TV will show you ads, even when not in use","double-screen ‘ free ’ tv show ad , even use",Positive
2023-05-15T13:00:00Z,"The TV Upfronts Promise High Drama with No Writers, No Stars, and No Promises","tv upfront promis high drama writer , star , promis",Positive
2023-05-29T19:03:07Z,‘John Wick: Chapter 4’ Takes Down ‘The Super Mario Bros. Movie’ on VOD,‘ john wick : chapter 4 ’ take ‘ super mario bros. movi ’ vod,Positive
2023-05-24T21:50:00Z,‘A Brighter Tomorrow’ Review: Nanni Moretti’s Optimistic but Uneven Look at Modern Filmmaking,‘ brighter tomorrow ’ review : nanni moretti ’ optimist uneven look modern filmmak,Neutral
2023-05-15T07:45:45Z,"'Love Is Blind' Spin-Off, Netflix Files to Trademark 'Love Is Wine' Products","'love blind ' spin-off , netflix file trademark 'love wine ' product",Positive
2023-05-27T19:25:28Z,"Netflix ne peut pas bloquer le partage de comptes, voici l’explication simple","netflix ne peut pa bloquer le partag de compt , voici l ’ explic simpl",Neutral
2023-05-07T07:00:30Z,"« La formule 1 peut devenir numéro un aux Etats-Unis d’ici cinq ans », assure Günther Steiner","« la formul 1 peut devenir numéro un aux etats-uni ’ ici cinq an » , assur günther steiner",Neutral
2023-05-03T16:00:30Z,La Reine Charlotte : on zappe ou on mate le spin-off de La Chronique des Bridgerton ?,la rein charlott : zapp ou mate le spin-off de la chroniqu de bridgerton ?,Neutral
2023-05-28T13:00:45Z,ChatGPT ha cambiado mi forma de ver la tele: así es como lo uso para saber qué ver en Netflix y otras plataformas de streaming,chatgpt ha cambiado mi forma de ver la tele : así e como lo uso para saber qué ver en netflix otra plataforma de stream,Neutral
2023-05-17T14:00:58Z,Jennifer Lopez rompe récords en Netflix con su nuevo thriller: 'La madre' arrasa con el mejor estreno del año y apunta a convertirse en una de las películas más vistas de la historia de la plataforma,jennif lopez romp récord en netflix con su nuevo thriller : 'la madr ' arrasa con el mejor estreno del año apunta convertirs en una de la película má vista de la historia de la plataforma,Neutral
2023-05-30T11:30:36Z,La genial miniserie de Netflix que arrasa en TikTok casi dos años después de su estreno y que vuelve a estar entre lo más visto de la plataforma,la genial miniseri de netflix que arrasa en tiktok casi do año despué de su estreno que vuelv estar entr lo má visto de la plataforma,Neutral
2023-05-08T16:01:16Z,Aquella vez que Yahoo pudo comprar Netflix... Y en su lugar se buscó la ruina,aquella vez que yahoo pudo comprar netflix ... en su lugar se buscó la ruina,Neutral
2023-05-28T14:34:50Z,Si cancelaste tu cuenta de Netflix quizá tengas un botón inútil en tu Android TV: así puedes aprovecharlo,si cancelast tu cuenta de netflix quizá tenga un botón inútil en tu android tv : así pued aprovecharlo,Neutral
2023-05-03T10:00:45Z,Netflix hace valer su suscripción con su juego más esperado: Laya’s Horizon listo para descargar,netflix hace valer su suscripción con su juego má esperado : laya ’ horizon listo para descargar,Neutral
2023-05-11T22:43:56Z,The Best US Bank Credit Cards of May 2023,best u bank credit card may 2023,Positive
